trial,N,mapType,density,seed,diag,heuristicUI,deceptiveMaze,algo,algoHeuristic,runtimeMs,nodesExpanded,peakFrontier,pathLength,found,optimal
0,4048,Maze,0,0,0,Manhattan,1,BFS,None,4887.3692,8185057,54,1149986,1,1
0,4048,Maze,0,0,0,Manhattan,1,Dijkstra,None,5843.9694,8185057,54,1149986,1,1
0,4048,Maze,0,0,0,Manhattan,1,Greedy,Manhattan,5312.1299,7383099,524,1149986,1,1
0,4048,Maze,0,0,0,Manhattan,1,A*,WallAware,6590.5095,8185057,65,1149986,1,1
0,4048,Maze,0,0,0,Manhattan,1,BiA*,WallAware,4876.1396,6312358,74,1149986,1,1
1,4048,Maze,0,1001,0,Manhattan,1,BFS,None,5442.9108,8185049,70,1274691,1,1
1,4048,Maze,0,1001,0,Manhattan,1,Dijkstra,None,6138.5919,8185049,68,1274691,1,1
1,4048,Maze,0,1001,0,Manhattan,1,Greedy,Manhattan,3824.4668,5357805,691,1274691,1,1
1,4048,Maze,0,1001,0,Manhattan,1,A*,WallAware,5962.4702,8185032,93,1274691,1,1
1,4048,Maze,0,1001,0,Manhattan,1,BiA*,WallAware,6337.6249,7796650,72,1274691,1,1
2,4048,Maze,0,2002,0,Manhattan,1,BFS,None,5439.2082,8184889,54,1323620,1,1
2,4048,Maze,0,2002,0,Manhattan,1,Dijkstra,None,6089.2137,8184887,55,1323620,1,1
2,4048,Maze,0,2002,0,Manhattan,1,Greedy,Manhattan,5114.7500,7000272,593,1323620,1,1
2,4048,Maze,0,2002,0,Manhattan,1,A*,WallAware,6719.9537,8184385,56,1323620,1,1
2,4048,Maze,0,2002,0,Manhattan,1,BiA*,WallAware,5631.5913,7624174,78,1323620,1,1
3,4048,Maze,0,3003,0,Manhattan,1,BFS,None,4796.2073,8185057,61,876134,1,1
3,4048,Maze,0,3003,0,Manhattan,1,Dijkstra,None,5489.4266,8185057,61,876134,1,1
3,4048,Maze,0,3003,0,Manhattan,1,Greedy,Manhattan,4644.5122,6730442,437,876134,1,1
3,4048,Maze,0,3003,0,Manhattan,1,A*,WallAware,5884.6672,8185056,70,876134,1,1
3,4048,Maze,0,3003,0,Manhattan,1,BiA*,WallAware,3861.8496,5784763,98,876134,1,1
4,4048,Maze,0,4004,0,Manhattan,1,BFS,None,4809.1386,8184969,58,1212065,1,1
4,4048,Maze,0,4004,0,Manhattan,1,Dijkstra,None,5871.9276,8184967,58,1212065,1,1
4,4048,Maze,0,4004,0,Manhattan,1,Greedy,Manhattan,5070.5813,7306780,507,1212065,1,1
4,4048,Maze,0,4004,0,Manhattan,1,A*,WallAware,5784.3105,8184834,66,1212065,1,1
4,4048,Maze,0,4004,0,Manhattan,1,BiA*,WallAware,5123.8635,7139357,68,1212065,1,1
5,4048,Maze,0,5005,0,Manhattan,1,BFS,None,4803.1980,8185057,58,1123086,1,1
5,4048,Maze,0,5005,0,Manhattan,1,Dijkstra,None,5549.2728,8185057,54,1123086,1,1
5,4048,Maze,0,5005,0,Manhattan,1,Greedy,Manhattan,4993.9469,7284753,388,1123086,1,1
5,4048,Maze,0,5005,0,Manhattan,1,A*,WallAware,5700.3866,8185057,75,1123086,1,1
5,4048,Maze,0,5005,0,Manhattan,1,BiA*,WallAware,4045.5505,5918381,79,1123086,1,1
6,4048,Maze,0,6006,0,Manhattan,1,BFS,None,4897.3355,8184819,58,1264755,1,1
6,4048,Maze,0,6006,0,Manhattan,1,Dijkstra,None,5627.5537,8184821,58,1264755,1,1
6,4048,Maze,0,6006,0,Manhattan,1,Greedy,Manhattan,3490.1319,5050223,410,1264755,1,1
6,4048,Maze,0,6006,0,Manhattan,1,A*,WallAware,5837.3415,8184348,68,1264755,1,1
6,4048,Maze,0,6006,0,Manhattan,1,BiA*,WallAware,4706.1768,6806960,70,1264755,1,1
7,4048,Maze,0,7007,0,Manhattan,1,BFS,None,5040.6795,8184951,56,1143918,1,1
7,4048,Maze,0,7007,0,Manhattan,1,Dijkstra,None,5514.1814,8184952,56,1143918,1,1
7,4048,Maze,0,7007,0,Manhattan,1,Greedy,Manhattan,5611.0600,8048849,479,1143918,1,1
7,4048,Maze,0,7007,0,Manhattan,1,A*,WallAware,5752.9992,8184697,60,1143918,1,1
7,4048,Maze,0,7007,0,Manhattan,1,BiA*,WallAware,5228.8741,7471363,89,1143918,1,1
8,4048,Maze,0,8008,0,Manhattan,1,BFS,None,4892.8301,8185057,64,1271148,1,1
8,4048,Maze,0,8008,0,Manhattan,1,Dijkstra,None,5483.5615,8185057,63,1271148,1,1
8,4048,Maze,0,8008,0,Manhattan,1,Greedy,Manhattan,6075.9976,8184211,492,1271148,1,1
8,4048,Maze,0,8008,0,Manhattan,1,A*,WallAware,5819.4735,8185057,90,1271148,1,1
8,4048,Maze,0,8008,0,Manhattan,1,BiA*,WallAware,4332.4728,6401182,84,1271148,1,1
9,4048,Maze,0,9009,0,Manhattan,1,BFS,None,4992.2294,8185050,63,869763,1,1
9,4048,Maze,0,9009,0,Manhattan,1,Dijkstra,None,5514.0960,8185050,64,869763,1,1
9,4048,Maze,0,9009,0,Manhattan,1,Greedy,Manhattan,4447.3725,6573308,697,869763,1,1
9,4048,Maze,0,9009,0,Manhattan,1,A*,WallAware,5762.7451,8185035,68,869763,1,1
9,4048,Maze,0,9009,0,Manhattan,1,BiA*,WallAware,3597.7079,5382316,71,869763,1,1